symptoms	sentences
sense of hunger	Is there anything else that doesn't feel good about you? Consider dietary habits and habits that can cause questions:
indigestion	What are you talking about?
sore throat	Is there anything else that doesn't feel good about you? Like a voice ache?
cough	What's wrong with you?
stomach ache	What's wrong with you?
disgusting	What are you talking about?
mental distress	How long have you been in this situation? Are you having an anxiety?
jaundice	What's wrong with you?
bacterial infections	What's the cause of the bacterial infection?
anorexia	What are you talking about?
palpitations	What are you talking about?
tensile and heavy	Are there any other problems? Tensile and heavy?
water swollen	What are you talking about?
numbness in limbs	What are you talking about?
sticky stool	How many times a day do you have to take a shit?
bowel	What's wrong with you?
urgency	What are you talking about?
hemorrhoid	What's wrong with you?
lethargy	What are you talking about?
dehydration	What's wrong with you?
diarrhea	What's wrong with you? Have you had a diarrhea?
gastrointestinal disorders	What are you talking about?
hot heart	What's wrong with you?
heartburn	What's wrong with you?
stomachache	What's wrong with my stomach? Have you got a stomachache?
frustration	What are you talking about?
dizziness	What are you talking about?
weight loss	What are you doing?
exhaust	What are you talking about?
nasal congestion	What's wrong with you?
fever	How long has this been going on? Have you got a fever?
shortness of breath	What are you talking about?
dysbacteriosis	This situation is generally caused by intestinal disorders.
intestinal obstruction	What caused the infarction? Have you done any tests?
wong poon	What's the cause? Wern't you tired?
heart attack	Are there any problems with the diet? Is there a panic?
sneeze	What do you eat every time you sneeze?
restlessness	What are you doing?
hiccup	What's the cause of the hiccup?
spasms	It's supposed to be a gastrointestinal spasm.
gastrointestinal dysfunction	This situation is more likely to be caused by gastrointestinal inflammation or gastrointestinal disorders.
fatigue	What are you talking about?
perianal pain	What's wrong with you?
menstrual disorders	What's wrong with you?
counter-current	What are you talking about?
reflux	What are you talking about?
edema	What are you talking about?
anemia	What are you talking about?
backache	What's wrong with you?
headache	What are you talking about?
numb limbs	What are you talking about?
ventilation	What are you talking about?
vomit	What's wrong with you?
hematemesis	What's wrong with you?
black stool	How many times a day do you have to take a shit?
frequent urination	What's the location of the urine? Have you had a history of piss? What color is it? Quiet?
heat	What's wrong with you?
bitterness in the mouth	What's wrong with you?
hard to swallow	How long has it been? How many times a day do you have to take a shit? Are you afraid of cold?
bitter	How long has this been going on? Have you ever done any tests?
allergy	What are you talking about?
dysphagia	What's wrong with you? This situation takes into account intestinal inflammation or intestinal inflammation.
blood in stool	What are you talking about?
chest pain	What's wrong with you?
muscle ache	What are you talking about?
seung jo	What are you eating? There are allergies?
gastrointestinal discomfort	What's wrong with your stomach?
abdominal distention	What are you talking about?
weight down	How long has this been going on? Has the weight changed? Have you done any tests?
bloating	What are you talking about?
back pain	What's wrong with you?
chills	How long have you been in this situation? Have you had a fever?
difficult eating	What's wrong? Have you eaten anything bad?
stuffy nose	What's wrong with you?
loose stool	What's wrong with you?
difficulty breathing	What's wrong with you?
lack of energy	What's wrong with you?
black poo	How's the shit? Is there something wrong with it?
helicobacter infection	What are you taking now? Spirulina?
bowel sound	The tummy barks because of the sound of the intestines.
nausea	What are you talking about?
burning sensation in the pharynx	The pharynx has a feeling of burning.
restless	What are you talking about?
cramps	What are you talking about?
sputum	What are you talking about?
abdominal pain	What's wrong with you?
hunger	How long has this been going on? Have you had a fever?
urgent urination	What's going on with the shit? Have you got a piss ache or something?
nausea,vomit,dizziness	How long has this been going on? Is there a nausea, vomiting, diarrhea? What are you talking about?
disgusting,difficult eating,hot heart,counter-current,abdominal distention	How long has it been? Is there anything else uncomfortable? Like nausea, vomiting, burning heart, anti-acid, abdominal swelling?
fever,diarrhea,vomit	How long has this been going on? Is there any fever, diarrhea, vomit?
hot heart,hiccup	How long has it been? Is there anything else? Like a heartburn?
heat,difficult eating,disgusting	Is there a fever, nausea, vomiting? What's the matter with you?
helicobacter infection,gastrointestinal discomfort	The phantom snails cause stomach discomfort. What do you take?
anemia,heat,blood in stool	Inflammation intestinal diseases are generally accompanied by heat, anemia and sepsis.
black poo,gastrointestinal discomfort	How long has it been? Are there any problems with the food? Is there a black poop?
abdominal pain,stomach ache	What are you talking about?
ventilation,abdominal distention,indigestion,hiccup	There are other symptoms besides exhaust, exhaust, gas, abdominal swelling, indigestion, etc.
bloating,nausea,gastrointestinal discomfort	How long has it been? Are there any other discomforts? Like stomach bloating?
cramps,diarrhea	What's wrong with diarrhea?
abdominal pain,abdominal distention,stomach ache	What are the main symptoms of this disease? Like stomach ache, abdominal swelling? What are you talking about?
abdominal distention,stomach ache,ventilation,hiccup	How long has it been? Is there anything else? Stomach ache, exhaust, gas, etc.
difficult eating,ventilation	How long has it been? How many times a day? What's the difference between two things?
hemorrhoid,loose stool	What's the difference between hemorrhoids and defecation?
diarrhea,abdominal pain,loose stool,bowel sound	What are you talking about?
abdominal pain,hunger,ventilation	What are you talking about?
stomachache,stomach ache	What's wrong with my stomach? Is it pain in the stomach or pain?
black stool,loose stool	How many times a day do you have to take a shit? What color is it? Is it thin or thin?
diarrhea,abdominal pain,abdominal distention,hiccup	Are there other symptoms of abdominal swelling and diarrhea? Is shit normal?
diarrhea,abdominal distention,ventilation	How long has it been? There's no abdominal swelling. What's the matter with you?
reflux,hiccup	How long has it been? You're in a situation of constipation? What are you talking about?
chest pain,bloating,stomach ache	What are the main symptoms of this chest? Stomach ache and stomach bloating? Which one of them has something to do with it?
diarrhea,frustration,loose stool	How many times a day do you have to take a shit? Do you have diarrhea? Frustration? Is it rare?
diarrhea,stomach ache,heat,counter-current,hot heart,abdominal distention,hiccup	Are there anti-acid, gas, stomach pain, fever, etc.? Is the stomach swollen?
weight loss,stomach ache	How long has this been going on? What are you talking about?
diarrhea,vomit,gastrointestinal discomfort	What's wrong with the stomach? Have you had a diarrhea? Is there a stomach problem?
bowel,stomach ache	The gastrointestinal inflammation of the stomach has nothing to do with the diet.
stomach ache,disgusting,hunger	Are there any other uncomfortable things? Like stomach pain, nausea, vomiting, etc.
gastrointestinal discomfort,diarrhea,vomit,fever,nausea	What are the symptoms of a stomach discomfort? Vomit, vomiting, gastrointestinal inflammation, constipation, diarrhea?
abdominal pain,abdominal distention,loose stool	What's wrong with the stomach?
disgusting,diarrhea,frustration,counter-current,hot heart,abdominal distention	Are there any anti-acid burns, nausea, diarrhea, etc.?
shortness of breath,gastrointestinal discomfort	The gastrointestinal function is not good, but it is regulated by the use of the medication I said, and if the symptoms are not alleviated, it is recommended that a period of time be taken to look at the body and see if there is a problem with the body.
hematemesis,blood in stool	Is there blood in the shit? What's the amount of blood? Have you excreted the blood?
cramps,stomach ache	What are you talking about?
cough,sputum	What are you talking about?
abdominal distention,indigestion,gastrointestinal discomfort	Are there any symptoms of stomach swelling or indigestion of the stomach?
disgusting,mental distress,diarrhea,abdominal pain,bowel sound,abdominal distention	The tummy grunt is an intestinal hysteria, which is not a problem for everyone, is it?
diarrhea,abdominal pain,stomach ache,ventilation,spasms,abdominal distention,hiccup	The tummy grunt is an intestinal hiccup that can be used for symptoms such as abdominal pain, gas, constipation, diarrhea, etc.
disgusting,diarrhea,abdominal pain,stomach ache,abdominal distention	Are there any abdominal pains, abdominal swelling, nausea, diarrhea, etc.?
loose stool,gastrointestinal discomfort	What's wrong with the stomach?
stomachache,chest pain,fatigue,backache	The main manifestation of this discomfort is cancer, which is mainly in the form of stomach inflammation, chest pain, fatigue, backache, etc.
nasal congestion,disgusting	Are you saturated? Are there any symptoms of nasal congestion?
bowel,reflux,bloating	The intestines, intestinal abstinence, intestinal inflammation, which can be taken into account in the event of discomfort caused by eating unclean food, cold, irritating food.
cough,nausea,vomit	What are you talking about?
diarrhea,abdominal pain,stomach ache,abdominal distention,hiccup	What are the main symptoms of an abnormal abdominal swelling? Are there any other symptoms? Like stomach ache, constipation, diarrhea?
sticky stool,difficult eating,hemorrhoid,loose stool,bowel sound,abdominal distention,blood in stool	Besides being thin, do you have a stomach swollen, hemorrhoids or something?
diarrhea,loose stool,ventilation,gastrointestinal discomfort	What do you see in your gastrointestinal discomfort? Diarrhea, deformity, abdominal absorption, etc.
heartburn,diarrhea	How many times a day do you have to take a shit? Do you have diarrhea? What are you talking about?
palpitations,gastrointestinal discomfort	What are you talking about?
dysbacteriosis,abdominal distention,indigestion	There are a number of dietary concerns for your information: Dietary hysteria, which may be caused by intestinal disorders, while the rest of your stomach is still swollen and unable to digest.
reflux,nausea,vomit,hiccup	What are you talking about?
spasms,gastrointestinal discomfort	In addition, you may want to take a look at the abdominal mirror first, and if you find yourself in pain, you can see that the abdominal inflammation is not good.
diarrhea,stomach ache,counter-current,abdominal distention,hiccup	Do you have any anti-acid gas, stomach pain, diarrhea?
counter-current,seung jo	What are you talking about?
dysbacteriosis,disgusting,loose stool	Is it disgusting to see if it's a fag? According to your description, the problem of gastrointestinal disorders is still being considered.
abdominal pain,abdominal distention,ventilation,bowel sound	The intestines move too fast. It's got to do with abdominal pain.
hiccup,reflux,gastrointestinal discomfort	How long has it been? Is there anything else? Hiccup, reflux, stomach discomfort?
diarrhea,back pain	What are the symptoms of the back pain? What are you talking about?
heat,frustration	There is no fear of cold fever, which can only be exacerbated by excessive activity, such as heat and fatigue.
bloating,reflux,heartburn,stomachache,hiccup	Creatures, hiccups, stomach pains, pain in the stomach during the meal, etc. Let the stomachache go and see if there is a bloated stomach or something?
disgusting,heat,hot heart,counter-current,abdominal distention	Are there any abdominal swellings, like fever, nausea, vomiting, etc.?
abdominal distention,difficult eating,hiccup	How long has it been? Is there anything else that doesn't feel good, such as vomiting, hiccups, swelling, stomach swollen?
